Vezetéknév;Keresztnév;Telefonszám;E-mail cím;Stáb;Kezdés éve;Tagozat;Rádió;Gyártásvezető?;Médiatanár;Osztályfőnök;Osztályai
Nagy;Imre;+36301234567;nagy.imre.25f@szlgbp.hu;B stáb;2025;F;;;;;
Kis;Imre;+36301234567;kis.imre.25f@szlgbp.hu;A stáb;2025;F;;;;;
Varga;Iván;+36301234567;varga.ivo.24f@szlgbp.hu;B stáb;2024;F;;;;;
Halmi;Emese;+36301234567;halmi.emese.24f@szlgbp.hu;A stáb;2024;F;;;;;
Minta;Katalin;+36301234567;minta.katalin.23f@szlgbp.hu;B stáb;2023;F;;Igen;;;
Riport;Erik;+36301234567;riport.erik.23f@szlgbp.hu;A stáb;2023;F;;Igen;;;
Minta;László;+36301234567;minta.laszlo.23f@szlgbp.hu;A stáb;2023;F;;;;;
Kovács;Anna;+36301234567;kovacs.anna.23f@szlgbp.hu;A stáb;2023;F;;;;;
Mártír;Jenő;+36301234567;martir.jeno.22f@szlgbp.hu;B stáb;2022;F;B3;;;;
Szakáll;Enikő;+36301234567;szakall.eniko.22f@szlgbp.hu;B stáb;2022;F;B4;;;;
Szabó;Attila;+36301234567;szabo.attila.22f@szlgbp.hu;A stáb;2022;F;A1;;;;
Kis;Gergő;+36301234567;kis.gergo.21f@szlgbp.hu;A stáb;2021;F;;;;;
Nagy;Ernő;+36301234567;nagy.erno.21f@szlgbp.hu;B stáb;2021;F;;Igen;;;
Csanádi;Ágnes;;csanadi.agnes@szlgbp.hu;;;;;;;Igen;2023F
Horváth;Bence;+36301234567;horvath.bence@szlgbp.hu;;;;;;Igen;Igen;2022F
Tóth;Dóra;;toth.dora@szlgbp.hu;;;;;;;Igen;2022F
Sibák;Zsuzsanna;+36301234567;sibak.zsuzsanna@szlgbp.hu;;;;;;Igen;;
